Year,Age,Population,DNumber,Rate,,,,,,
1975,<13 years,45851304,3643,7.9,,1988,<13 years,45942966,2701,5.9
1975,13-19 years,29795023,8748,29.4,,1988,13-19 years,25004445,7242,29
1975,20-34 years,50998098,15074,29.6,,1988,20-34 years,62784739,17613,28.1
1975,35-69 years,74764829,13080,17.5,,1988,35-69 years,90464406,14458,16
1975,70+ years,14563945,3775,25.9,,1988,70+ years,20302280,4925,24.3
1976,<13 years,45000704,3424,7.6,,2010,<13 years,52937278,962,1.8
1976,13-19 years,29909414,9356,31.3,,2010,13-19 years,30247014,3121,10.3
1976,20-34 years,52745005,15517,29.4,,2010,20-34 years,62914600,9684,15.4
1976,35-69 years,75419921,13137,17.4,,2010,35-69 years,135270594,15015,11.1
1976,70+ years,14960120,3896,26,,2010,70+ years,27957657,4171,14.9
1977,<13 years,44337332,3347,7.5,,2020,<13 years,51887147,845,1.6
1977,13-19 years,29800313,9633,32.3,,2020,13-19 years,29367308,2738,9.3
1977,20-34 years,54497448,17287,31.7,,2020,20-34 years,67664401,11857,17.5
1977,35-69 years,76203083,13460,17.7,,2020,35-69 years,142779669,18642,13.1
1977,70+ years,15401249,3859,25.1,,2020,70+ years,37785698,4570,12.1
1978,<13 years,43907467,3367,7.7,,,,,,
1978,13-19 years,29543252,9940,33.6,,,,,,
1978,20-34 years,55909063,18886,33.8,,,,,,
1978,35-69 years,77348222,14020,18.1,,,,,,
1978,70+ years,15876541,3824,24.1,,,,,,
1979,<13 years,43778959,3171,7.2,,,,,,
1979,13-19 years,29077607,9920,34.1,,,,,,
1979,20-34 years,57499197,19675,34.2,,,,,,
1979,35-69 years,78311107,14232,18.2,,,,,,
1979,70+ years,16388617,3772,23,,,,,,
1980,<13 years,43914342,3048,6.9,,,,,,
1980,13-19 years,28486487,9524,33.4,,,,,,
1980,20-34 years,58814391,20110,34.2,,,,,,
1980,35-69 years,79111522,14219,18,,,,,,
1980,70+ years,16897977,3861,22.8,,,,,,
1981,<13 years,44049940,2733,6.2,,,,,,
1981,13-19 years,27743947,8315,30,,,,,,
1981,20-34 years,60563416,19887,32.8,,,,,,
1981,35-69 years,79785591,13950,17.5,,,,,,
1981,70+ years,17322714,3871,22.3,,,,,,
1982,<13 years,44131596,2573,5.8,,,,,,
1982,13-19 years,27160586,7323,27,,,,,,
1982,20-34 years,61099524,17465,28.6,,,,,,
1982,35-69 years,81488902,12685,15.6,,,,,,
1982,70+ years,17783888,3655,20.6,,,,,,
1983,<13 years,44119297,2518,5.7,,,,,,
1983,13-19 years,26737497,6805,25.5,,,,,,
1983,20-34 years,61840154,16853,27.3,,,,,,
1983,35-69 years,82861204,12488,15.1,,,,,,
1983,70+ years,18233751,3734,20.5,,,,,,
1984,<13 years,43978044,2422,5.5,,,,,,
1984,13-19 years,26435885,6952,26.3,,,,,,
1984,20-34 years,62491255,17579,28.1,,,,,,
1984,35-69 years,84256661,13006,15.4,,,,,,
1984,70+ years,18662938,4052,21.7,,,,,,
1985,<13 years,44260136,2469,5.6,,,,,,
1985,13-19 years,26001247,6737,25.9,,,,,,
1985,20-34 years,62961154,17031,27.1,,,,,,
1985,35-69 years,85628410,13126,15.3,,,,,,
1985,70+ years,19072785,4206,22.1,,,,,,
1986,<13 years,44755454,2537,5.7,,,,,,
1986,13-19 years,25592481,7466,29.2,,,,,,
1986,20-34 years,63115889,18132,28.7,,,,,,
1986,35-69 years,87205537,13263,15.2,,,,,,
1986,70+ years,19463480,4445,22.8,,,,,,
1987,<13 years,45348247,2654,5.9,,,,,,
1987,13-19 years,25209615,7293,28.9,,,,,,
1987,20-34 years,63032298,17676,28,,,,,,
1987,35-69 years,88808046,14074,15.8,,,,,,
1987,70+ years,19890817,4555,22.9,,,,,,
1988,<13 years,45942966,2701,5.9,,,,,,
1988,13-19 years,25004445,7242,29,,,,,,
1988,20-34 years,62784739,17613,28.1,,,,,,
1988,35-69 years,90464406,14458,16,,,,,,
1988,70+ years,20302280,4925,24.3,,,,,,
1989,<13 years,46690604,2658,5.7,,,,,,
1989,13-19 years,24664300,6688,27.1,,,,,,
1989,20-34 years,62494056,16512,26.4,,,,,,
1989,35-69 years,92250762,14651,15.9,,,,,,
